filename,width,height,class,xmin,ymin,xmax,ymax
frame_no_17527.jpg,1920,1080,1,1427,677,1679,1082
frame_no_17527.jpg,1920,1080,7,1362,407,1609,734
frame_no_00798.jpg,1920,1080,1,1521,677,1853,1067
frame_no_00798.jpg,1920,1080,3,101,874,353,1074
frame_no_07385.jpg,1920,1080,5,1440,321,1690,719
frame_no_07385.jpg,1920,1080,6,1077,389,1350,820
frame_no_07385.jpg,1920,1080,7,880,197,1048,527
frame_no_17741.jpg,1920,1080,1,1430,685,1684,1080
frame_no_17741.jpg,1920,1080,7,1362,402,1614,742
frame_no_00596.jpg,1920,1080,1,1529,682,1869,1069
frame_no_00596.jpg,1920,1080,3,90,874,337,1074
frame_no_15379.jpg,1920,1080,1,1474,716,1788,1069
frame_no_15379.jpg,1920,1080,2,794,846,1103,1064
frame_no_15379.jpg,1920,1080,4,145,771,477,1077
frame_no_15379.jpg,1920,1080,7,1165,311,1383,825
frame_no_11786.jpg,1920,1080,1,1394,667,1687,1067
frame_no_11786.jpg,1920,1080,3,1131,399,1378,828
frame_no_11786.jpg,1920,1080,4,329,771,898,1074
frame_no_18189.jpg,1920,1080,1,1347,693,1729,1077
frame_no_18189.jpg,1920,1080,2,778,672,1326,1072
frame_no_18189.jpg,1920,1080,7,1381,399,1614,742
frame_no_05078.jpg,1920,1080,1,1632,708,1915,1082
frame_no_05078.jpg,1920,1080,2,155,612,724,1074
frame_no_05078.jpg,1920,1080,3,978,132,1051,327
frame_no_05078.jpg,1920,1080,4,1077,168,1139,373
frame_no_05078.jpg,1920,1080,5,1303,270,1581,791
frame_no_16015.jpg,1920,1080,1,1539,695,1819,1072
frame_no_16015.jpg,1920,1080,7,1368,402,1604,737
frame_no_10746.jpg,1920,1080,1,1544,726,1817,1074
frame_no_10746.jpg,1920,1080,3,1155,428,1381,828
frame_no_10746.jpg,1920,1080,4,288,747,646,1069
frame_no_03883.jpg,1920,1080,1,1420,677,1765,1069
frame_no_03883.jpg,1920,1080,5,973,124,1051,360
frame_no_07796.jpg,1920,1080,1,1552,682,1892,1059
frame_no_07796.jpg,1920,1080,3,939,179,1069,386
frame_no_07796.jpg,1920,1080,6,1290,392,1568,828
frame_no_07796.jpg,1920,1080,7,973,262,1199,802
frame_no_17181.jpg,1920,1080,1,1456,726,1752,1072
frame_no_17181.jpg,1920,1080,7,1362,397,1609,747
frame_no_11359.jpg,1920,1080,1,1438,680,1690,1077
frame_no_11359.jpg,1920,1080,3,1139,438,1391,817
frame_no_11359.jpg,1920,1080,7,0,729,264,1074
frame_no_06563.jpg,1920,1080,1,1617,672,1926,1072
frame_no_06563.jpg,1920,1080,2,703,986,913,1072
frame_no_06563.jpg,1920,1080,3,830,321,1054,682
frame_no_06563.jpg,1920,1080,5,1388,298,1682,747
frame_no_06563.jpg,1920,1080,6,1054,384,1352,815
